Package_ID,Length,Width,Height,Weight,Type,Delay_Cost
P-1,98,85,49,5,Priority,0
P-2,93,35,59,5,Priority,0
P-3,67,147,11,11,Priority,0
P-4,191,143,55,11,Priority,0
P-5,146,125,16,1,Priority,0
P-6,14,126,23,9,Priority,0
P-7,78,132,9,14,Priority,0
P-8,58,12,43,14,Priority,0
P-9,69,37,38,11,Priority,0
P-10,163,63,17,4,Priority,0
P-11,109,14,59,9,Priority,0
P-12,221,131,43,3,Priority,0
P-13,10,180,29,4,Priority,0
P-14,132,103,51,8,Priority,0
P-15,216,102,6,1,Priority,0
P-16,42,138,31,15,Priority,0
P-17,228,12,40,1,Priority,0
P-18,60,76,37,13,Priority,0
P-19,190,15,25,1,Priority,0
P-20,157,83,53,17,Priority,0
P-21,149,40,44,6,Priority,0
P-22,63,21,5,5,Priority,0
P-23,128,61,47,13,Priority,0
P-24,103,115,30,9,Priority,0
P-25,144,43,28,17,Priority,0
P-26,51,145,4,3,Priority,0
P-27,75,94,9,8,Priority,0
P-28,183,137,59,8,Priority,0
P-29,150,144,40,4,Priority,0
P-30,184,43,31,6,Priority,0
P-31,25,100,19,14,Priority,0
P-32,151,178,60,8,Priority,0
P-33,206,148,5,15,Priority,0
P-34,162,40,51,18,Priority,0
P-35,62,13,5,3,Priority,0
P-36,13,11,4,14,Priority,0
P-37,12,8,4,5,Priority,0
P-38,4,4,4,14,Priority,0
P-39,4,4,4,12,Priority,0
P-40,4,4,4,11,Priority,0
P-41,4,4,4,11,Priority,0
P-42,4,4,4,9,Priority,0
P-43,4,4,4,25,Priority,0
P-44,4,4,4,34,Priority,0
P-45,4,4,4,34,Priority,0
P-46,4,4,4,23,Priority,0
P-47,4,4,4,8,Priority,0
P-48,4,4,4,19,Priority,0
P-49,4,4,4,10,Priority,0
P-50,4,4,4,64,Priority,0
P-51,4,4,4,13,Priority,0
P-52,4,4,4,87,Priority,0
P-53,94,64,46,69,Economy,92
P-54,4,34,96,87,Economy,24
P-55,97,89,54,12,Economy,23
P-56,5,18,55,24,Economy,42
P-57,32,66,95,29,Economy,92
P-58,54,80,97,59,Economy,28
P-59,25,82,71,49,Economy,14
P-60,48,100,55,23,Economy,75
P-61,36,30,13,71,Economy,36
P-62,93,6,9,54,Economy,75
P-63,80,53,7,89,Economy,70
P-64,29,43,50,63,Economy,25
P-65,89,11,58,75,Economy,70
P-66,83,4,57,99,Economy,44
P-67,85,22,79,62,Economy,11
P-68,92,26,69,50,Economy,16
P-69,49,90,76,21,Economy,89
P-70,10,100,97,78,Economy,72
P-71,45,37,57,4,Economy,16
P-72,26,37,8,70,Economy,96
P-73,99,94,39,87,Economy,63
P-74,11,15,81,38,Economy,81
P-75,75,97,11,18,Economy,32
P-76,90,40,36,31,Economy,87
P-77,56,78,9,43,Economy,29
P-78,31,38,41,59,Economy,18
P-79,52,42,52,55,Economy,17
P-80,33,36,45,87,Economy,73
P-81,64,93,16,21,Economy,12
P-82,61,81,12,54,Economy,46
P-83,43,14,99,31,Economy,62
P-84,66,79,99,35,Economy,23
P-85,5,45,21,27,Economy,28
P-86,41,75,71,57,Economy,76
P-87,19,75,67,53,Economy,84
P-88,60,42,41,86,Economy,48
P-89,23,74,75,36,Economy,21
P-90,21,53,10,47,Economy,86
P-91,42,93,27,90,Economy,70
P-92,34,99,11,29,Economy,33
P-93,21,11,21,24,Economy,49
P-94,67,93,63,98,Economy,53
P-95,6,90,67,95,Economy,21
P-96,41,24,93,15,Economy,26
P-97,97,15,47,17,Economy,45
P-98,24,92,11,37,Economy,58
P-99,14,90,23,65,Economy,29
P-100,34,86,40,56,Economy,16
P-101,33,95,70,53,Economy,79
P-102,87,75,7,82,Economy,44
P-103,10,80,11,45,Economy,80
P-104,14,37,74,50,Economy,72
P-105,36,81,67,90,Economy,78
P-106,90,65,42,14,Economy,12
P-107,73,61,28,72,Economy,85
P-108,69,59,31,47,Economy,19
P-109,92,35,60,4,Economy,21
P-110,62,79,46,60,Economy,97
P-111,89,67,36,23,Economy,23
P-112,74,49,6,74,Economy,55
P-113,88,94,100,44,Economy,96
P-114,69,94,69,75,Economy,63
P-115,41,27,58,40,Economy,28
P-116,20,30,74,77,Economy,45
P-117,79,17,66,80,Economy,40
P-118,47,30,90,56,Economy,99
P-119,95,95,59,63,Economy,46
P-120,73,60,4,92,Economy,88
P-121,54,50,89,98,Economy,70
P-122,85,62,58,97,Economy,75
P-123,44,31,73,49,Economy,97
P-124,31,100,82,24,Economy,10
P-125,82,92,56,2,Economy,10
