instance,seed,n_ulds,n_packages,n_priority,n_economy,priority_ratio,priority_vol_frac,priority_wt_frac,attempts,b_rejects,a_rejects,K
instance_000,1000,4,91,27,64,0.3018,0.3132,0.4253,1,0,0,2000
instance_001,1001,10,193,96,97,0.4981,0.2168,0.5299,1,0,0,500
instance_002,1002,8,255,76,179,0.2984,0.2556,0.5168,1,0,0,500
instance_003,1003,6,148,38,110,0.2576,0.1489,0.4842,1,0,0,100
instance_004,1004,3,15,10,5,0.6354,0.176,0.4511,1,0,0,1000
instance_005,1005,4,295,83,212,0.2819,0.4507,0.6622,1,0,0,2000
instance_006,1006,2,158,85,73,0.5391,0.6002,0.6687,1,0,0,5000
instance_007,1007,3,57,26,31,0.4549,0.2026,0.6012,1,0,0,1000
instance_008,1008,9,109,73,36,0.6684,0.1549,0.5427,1,0,0,100
instance_009,1009,8,12,5,7,0.379,0.0106,0.0597,1,0,0,100
instance_010,1010,5,204,67,137,0.329,0.1859,0.6172,1,0,0,5000
instance_011,1011,5,49,26,23,0.5319,0.0702,0.3679,1,0,0,2000
instance_012,1012,2,55,20,35,0.3636,0.6001,0.555,1,0,0,1000
instance_013,1013,9,82,51,31,0.623,0.184,0.4103,1,0,0,100
instance_014,1014,6,187,106,81,0.566,0.6,0.6971,1,0,0,1000
instance_015,1015,8,105,55,50,0.528,0.1504,0.6003,1,0,0,5000
instance_016,1016,5,261,148,113,0.5682,0.4506,0.6486,1,0,0,5000
instance_017,1017,8,128,85,43,0.6642,0.283,0.5668,1,0,0,5000
instance_018,1018,10,79,55,24,0.6942,0.0665,0.6142,1,0,0,500
instance_019,1019,6,82,25,57,0.303,0.1425,0.4318,1,0,0,100
instance_020,1020,8,233,114,119,0.4881,0.6,0.6208,1,0,0,500
instance_021,1021,2,165,95,70,0.5734,0.6004,0.6632,1,0,0,500
instance_022,1022,4,124,80,44,0.6425,0.6001,0.648,1,0,0,5000
instance_023,1023,8,39,21,18,0.5335,0.0709,0.2637,1,0,0,2000
instance_024,1024,2,101,57,44,0.5663,0.2674,0.5747,2,0,1,2000
instance_025,1025,3,300,158,142,0.527,0.6005,0.6713,1,0,0,1000
instance_026,1026,4,216,147,69,0.6801,0.6003,0.6617,1,0,0,2000
instance_027,1027,4,289,88,201,0.3041,0.6001,0.632,1,0,0,1000
instance_028,1028,8,21,6,15,0.3038,0.0126,0.0749,1,0,0,500
instance_029,1029,1,146,61,85,0.4204,0.6005,0.6966,3,0,2,1000
instance_030,1030,10,229,98,131,0.4277,0.1757,0.6263,1,0,0,500
instance_031,1031,6,131,75,56,0.5747,0.2967,0.6874,1,0,0,100
instance_032,1032,9,59,29,30,0.4878,0.0641,0.2512,1,0,0,100
instance_033,1033,8,186,48,138,0.2601,0.0961,0.4431,1,0,0,1000
instance_034,1034,7,33,17,16,0.5189,0.1406,0.274,1,0,0,5000
instance_035,1035,1,247,144,103,0.5848,0.6018,0.6708,1,0,0,100
instance_036,1036,4,72,36,36,0.5069,0.6,0.66,1,0,0,2000
instance_037,1037,8,195,87,108,0.4457,0.1711,0.5179,1,0,0,5000
instance_038,1038,1,163,113,50,0.6903,0.6013,0.6937,2,0,1,100
instance_039,1039,1,238,125,113,0.5272,0.6011,0.6907,1,0,0,2000
instance_040,1040,1,115,39,76,0.3374,0.6005,0.6278,1,0,0,100
instance_041,1041,10,192,104,88,0.543,0.2065,0.6243,1,0,0,500
instance_042,1042,8,33,13,20,0.3869,0.0143,0.1259,1,0,0,5000
instance_043,1043,10,191,130,61,0.6809,0.4268,0.5771,1,0,0,500
instance_044,1044,7,267,113,154,0.4216,0.4825,0.6776,1,0,0,500
instance_045,1045,10,20,12,8,0.5919,0.0215,0.1477,1,0,0,500
instance_046,1046,7,84,26,58,0.3146,0.1136,0.5509,1,0,0,100
instance_047,1047,3,60,40,20,0.6636,0.6001,0.6664,1,0,0,1000
instance_048,1048,2,112,38,74,0.3369,0.6001,0.5681,1,0,0,500
instance_049,1049,7,54,34,20,0.6303,0.2546,0.4447,1,0,0,1000
instance_050,1050,5,222,69,153,0.3101,0.4391,0.6404,1,0,0,5000
instance_051,1051,8,65,28,37,0.427,0.0683,0.3374,1,0,0,2000
instance_052,1052,9,44,24,20,0.5407,0.0656,0.401,1,0,0,100
instance_053,1053,8,48,26,22,0.552,0.0629,0.3864,1,0,0,5000
instance_054,1054,7,167,51,116,0.3048,0.29,0.5943,1,0,0,1000
instance_055,1055,3,44,28,16,0.639,0.4963,0.5979,1,0,0,1000
instance_056,1056,8,259,92,167,0.354,0.2894,0.5942,1,0,0,100
instance_057,1057,1,29,14,15,0.4958,0.6001,0.5148,2,0,1,100
instance_058,1058,10,236,63,173,0.2665,0.2271,0.5367,1,0,0,500
instance_059,1059,9,213,139,74,0.6541,0.5508,0.632,1,0,0,100
instance_060,1060,5,115,49,66,0.4223,0.2309,0.6221,1,0,0,5000
instance_061,1061,6,109,30,79,0.273,0.1617,0.4923,1,0,0,2000
instance_062,1062,4,189,98,91,0.5198,0.6001,0.6182,1,0,0,2000
instance_063,1063,6,44,17,27,0.3769,0.0583,0.3293,1,0,0,100
instance_064,1064,3,225,134,91,0.5946,0.6005,0.6568,1,0,0,5000
instance_065,1065,3,204,97,107,0.476,0.6002,0.6901,1,0,0,1000
instance_066,1066,8,143,42,101,0.2943,0.1037,0.4575,1,0,0,500
instance_067,1067,10,187,85,102,0.4571,0.2521,0.5236,1,0,0,500
instance_068,1068,3,16,11,5,0.6666,0.0958,0.3848,1,0,0,1000
instance_069,1069,5,149,78,71,0.5253,0.2556,0.6407,1,0,0,5000
instance_070,1070,6,65,22,43,0.3432,0.0691,0.595,1,0,0,500
instance_071,1071,6,48,27,21,0.5721,0.2668,0.3989,1,0,0,2000
instance_072,1072,1,299,113,186,0.378,0.6009,0.6883,4,0,3,5000
instance_073,1073,3,184,90,94,0.4915,0.6003,0.6265,1,0,0,1000
instance_074,1074,2,194,63,131,0.3267,0.6003,0.6367,1,0,0,2000
instance_075,1075,1,243,146,97,0.6009,0.6012,0.6454,1,0,0,100
instance_076,1076,3,290,79,211,0.2722,0.6004,0.6652,1,0,0,1000
instance_077,1077,7,276,72,204,0.2619,0.212,0.5439,1,0,0,100
instance_078,1078,8,230,81,149,0.351,0.2248,0.5414,1,0,0,1000
instance_079,1079,4,65,34,31,0.5282,0.4444,0.5837,1,0,0,2000
instance_080,1080,6,126,78,48,0.618,0.4366,0.5859,1,0,0,1000
instance_081,1081,1,164,61,103,0.3709,0.6017,0.656,4,0,3,100
instance_082,1082,2,111,58,53,0.5203,0.6002,0.6333,3,0,2,500
instance_083,1083,8,184,119,65,0.649,0.5121,0.6235,1,0,0,5000
instance_084,1084,9,59,32,27,0.5451,0.0653,0.292,1,0,0,100
instance_085,1085,7,4,2,2,0.5882,0.0104,0.0298,1,0,0,5000
instance_086,1086,6,14,9,5,0.6646,0.0166,0.1263,1,0,0,1000
instance_087,1087,4,64,39,25,0.6042,0.3983,0.6375,1,0,0,2000
instance_088,1088,10,234,96,138,0.4089,0.1704,0.582,1,0,0,500
instance_089,1089,4,281,120,161,0.4263,0.6002,0.69,1,0,0,2000
instance_090,1090,7,215,55,160,0.2569,0.351,0.514,1,0,0,2000
instance_091,1091,6,137,42,95,0.3079,0.2047,0.4724,1,0,0,5000
