catalogue_id,Length,Width,Height,Weight_Limit
0,65,65,65,75
1,65,65,65,125
2,65,65,65,175
3,65,65,65,225
4,65,65,65,275
5,65,65,65,325
6,65,65,65,375
7,65,65,65,425
8,65,65,65,475
9,65,65,65,525
10,65,65,65,575
11,65,65,65,625
12,65,65,65,675
13,65,65,65,725
14,65,65,65,775
15,65,65,65,825
16,65,65,65,875
17,65,65,65,925
18,65,65,65,975
19,75,65,65,75
20,75,65,65,125
21,75,65,65,175
22,75,65,65,225
23,75,65,65,275
24,75,65,65,325
25,75,65,65,375
26,75,65,65,425
27,75,65,65,475
28,75,65,65,525
29,75,65,65,575
30,75,65,65,625
31,75,65,65,675
32,75,65,65,725
33,75,65,65,775
34,75,65,65,825
35,75,65,65,875
36,75,65,65,925
37,75,65,65,975
38,75,75,65,75
39,75,75,65,125
40,75,75,65,175
41,75,75,65,225
42,75,75,65,275
43,75,75,65,325
44,75,75,65,375
45,75,75,65,425
46,75,75,65,475
47,75,75,65,525
48,75,75,65,575
49,75,75,65,625
50,75,75,65,675
51,75,75,65,725
52,75,75,65,775
53,75,75,65,825
54,75,75,65,875
55,75,75,65,925
56,75,75,65,975
57,75,75,75,75
58,75,75,75,125
59,75,75,75,175
60,75,75,75,225
61,75,75,75,275
62,75,75,75,325
63,75,75,75,375
64,75,75,75,425
65,75,75,75,475
66,75,75,75,525
67,75,75,75,575
68,75,75,75,625
69,75,75,75,675
70,75,75,75,725
71,75,75,75,775
72,75,75,75,825
73,75,75,75,875
74,75,75,75,925
75,75,75,75,975
76,85,65,65,75
77,85,65,65,125
78,85,65,65,175
79,85,65,65,225
80,85,65,65,275
81,85,65,65,325
82,85,65,65,375
83,85,65,65,425
84,85,65,65,475
85,85,65,65,525
86,85,65,65,575
87,85,65,65,625
88,85,65,65,675
89,85,65,65,725
90,85,65,65,775
91,85,65,65,825
92,85,65,65,875
93,85,65,65,925
94,85,65,65,975
95,85,75,65,75
96,85,75,65,125
97,85,75,65,175
98,85,75,65,225
99,85,75,65,275
100,85,75,65,325
101,85,75,65,375
102,85,75,65,425
103,85,75,65,475
104,85,75,65,525
105,85,75,65,575
106,85,75,65,625
107,85,75,65,675
108,85,75,65,725
109,85,75,65,775
110,85,75,65,825
111,85,75,65,875
112,85,75,65,925
113,85,75,65,975
114,85,75,75,75
115,85,75,75,125
116,85,75,75,175
117,85,75,75,225
118,85,75,75,275
119,85,75,75,325
120,85,75,75,375
121,85,75,75,425
122,85,75,75,475
123,85,75,75,525
124,85,75,75,575
125,85,75,75,625
126,85,75,75,675
127,85,75,75,725
128,85,75,75,775
129,85,75,75,825
130,85,75,75,875
131,85,75,75,925
132,85,75,75,975
133,85,85,65,75
134,85,85,65,125
135,85,85,65,175
136,85,85,65,225
137,85,85,65,275
138,85,85,65,325
139,85,85,65,375
140,85,85,65,425
141,85,85,65,475
142,85,85,65,525
143,85,85,65,575
144,85,85,65,625
145,85,85,65,675
146,85,85,65,725
147,85,85,65,775
148,85,85,65,825
149,85,85,65,875
150,85,85,65,925
151,85,85,65,975
152,85,85,75,75
153,85,85,75,125
154,85,85,75,175
155,85,85,75,225
156,85,85,75,275
157,85,85,75,325
158,85,85,75,375
159,85,85,75,425
160,85,85,75,475
161,85,85,75,525
162,85,85,75,575
163,85,85,75,625
164,85,85,75,675
165,85,85,75,725
166,85,85,75,775
167,85,85,75,825
168,85,85,75,875
169,85,85,75,925
170,85,85,75,975
171,85,85,85,75
172,85,85,85,125
173,85,85,85,175
174,85,85,85,225
175,85,85,85,275
176,85,85,85,325
177,85,85,85,375
178,85,85,85,425
179,85,85,85,475
180,85,85,85,525
181,85,85,85,575
182,85,85,85,625
183,85,85,85,675
184,85,85,85,725
185,85,85,85,775
186,85,85,85,825
187,85,85,85,875
188,85,85,85,925
189,85,85,85,975
190,95,65,65,75
191,95,65,65,125
192,95,65,65,175
193,95,65,65,225
194,95,65,65,275
195,95,65,65,325
196,95,65,65,375
197,95,65,65,425
198,95,65,65,475
199,95,65,65,525
200,95,65,65,575
201,95,65,65,625
202,95,65,65,675
203,95,65,65,725
204,95,65,65,775
205,95,65,65,825
206,95,65,65,875
207,95,65,65,925
208,95,65,65,975
209,95,75,65,75
210,95,75,65,125
211,95,75,65,175
212,95,75,65,225
213,95,75,65,275
214,95,75,65,325
215,95,75,65,375
216,95,75,65,425
217,95,75,65,475
218,95,75,65,525
219,95,75,65,575
220,95,75,65,625
221,95,75,65,675
222,95,75,65,725
223,95,75,65,775
224,95,75,65,825
225,95,75,65,875
226,95,75,65,925
227,95,75,65,975
228,95,75,75,75
229,95,75,75,125
230,95,75,75,175
231,95,75,75,225
232,95,75,75,275
233,95,75,75,325
234,95,75,75,375
235,95,75,75,425
236,95,75,75,475
237,95,75,75,525
238,95,75,75,575
239,95,75,75,625
240,95,75,75,675
241,95,75,75,725
242,95,75,75,775
243,95,75,75,825
244,95,75,75,875
245,95,75,75,925
246,95,75,75,975
247,95,85,65,75
248,95,85,65,125
249,95,85,65,175
250,95,85,65,225
251,95,85,65,275
252,95,85,65,325
253,95,85,65,375
254,95,85,65,425
255,95,85,65,475
256,95,85,65,525
257,95,85,65,575
258,95,85,65,625
259,95,85,65,675
260,95,85,65,725
261,95,85,65,775
262,95,85,65,825
263,95,85,65,875
264,95,85,65,925
265,95,85,65,975
266,95,85,75,75
267,95,85,75,125
268,95,85,75,175
269,95,85,75,225
270,95,85,75,275
271,95,85,75,325
272,95,85,75,375
273,95,85,75,425
274,95,85,75,475
275,95,85,75,525
276,95,85,75,575
277,95,85,75,625
278,95,85,75,675
279,95,85,75,725
280,95,85,75,775
281,95,85,75,825
282,95,85,75,875
283,95,85,75,925
284,95,85,75,975
285,95,85,85,75
286,95,85,85,125
287,95,85,85,175
288,95,85,85,225
289,95,85,85,275
290,95,85,85,325
291,95,85,85,375
292,95,85,85,425
293,95,85,85,475
294,95,85,85,525
295,95,85,85,575
296,95,85,85,625
297,95,85,85,675
298,95,85,85,725
299,95,85,85,775
300,95,85,85,825
301,95,85,85,875
302,95,85,85,925
303,95,85,85,975
304,95,95,65,75
305,95,95,65,125
306,95,95,65,175
307,95,95,65,225
308,95,95,65,275
309,95,95,65,325
310,95,95,65,375
311,95,95,65,425
312,95,95,65,475
313,95,95,65,525
314,95,95,65,575
315,95,95,65,625
316,95,95,65,675
317,95,95,65,725
318,95,95,65,775
319,95,95,65,825
320,95,95,65,875
321,95,95,65,925
322,95,95,65,975
323,95,95,75,75
324,95,95,75,125
325,95,95,75,175
326,95,95,75,225
327,95,95,75,275
328,95,95,75,325
329,95,95,75,375
330,95,95,75,425
331,95,95,75,475
332,95,95,75,525
333,95,95,75,575
334,95,95,75,625
335,95,95,75,675
336,95,95,75,725
337,95,95,75,775
338,95,95,75,825
339,95,95,75,875
340,95,95,75,925
341,95,95,75,975
342,95,95,85,75
343,95,95,85,125
344,95,95,85,175
345,95,95,85,225
346,95,95,85,275
347,95,95,85,325
348,95,95,85,375
349,95,95,85,425
350,95,95,85,475
351,95,95,85,525
352,95,95,85,575
353,95,95,85,625
354,95,95,85,675
355,95,95,85,725
356,95,95,85,775
357,95,95,85,825
358,95,95,85,875
359,95,95,85,925
360,95,95,85,975
361,95,95,95,75
362,95,95,95,125
363,95,95,95,175
364,95,95,95,225
365,95,95,95,275
366,95,95,95,325
367,95,95,95,375
368,95,95,95,425
369,95,95,95,475
370,95,95,95,525
371,95,95,95,575
372,95,95,95,625
373,95,95,95,675
374,95,95,95,725
375,95,95,95,775
376,95,95,95,825
377,95,95,95,875
378,95,95,95,925
379,95,95,95,975
380,105,65,65,75
381,105,65,65,125
382,105,65,65,175
383,105,65,65,225
384,105,65,65,275
385,105,65,65,325
386,105,65,65,375
387,105,65,65,425
388,105,65,65,475
389,105,65,65,525
390,105,65,65,575
391,105,65,65,625
