"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.285154527E1,4.078258813E1,-7.387815214E1,-1.279005573E1,1.979999900E0,1.211999969E2,4.700000000E1,4.400000000E1
1.385918641E1,4.078262886E1,-7.387809573E1,-1.279016164E1,1.289999962E0,1.230000000E2,4.050000000E1,3.800000000E1
1.486157805E1,4.078257681E1,-7.387804309E1,-6.790098772E0,1.750000000E0,1.180999985E2,3.750000000E1,3.700000000E1
1.584500383E1,4.078258436E1,-7.387802004E1,-9.790125706E0,1.639999986E0,1.170000000E2,3.450000000E1,3.500000000E1
1.685061844E1,4.078255930E1,-7.387800403E1,-1.279009001E1,1.250000000E0,1.170000000E2,3.400000000E1,3.400000000E1
1.785799152E1,4.078256101E1,-7.387798986E1,-1.579010133E1,1.319999933E0,1.073000031E2,3.350000000E1,3.400000000E1
1.885484598E1,4.078257945E1,-7.387797235E1,-1.679014461E1,9.199999571E-1,1.021999969E2,3.250000000E1,3.400000000E1
1.985443723E1,4.078261143E1,-7.387796824E1,-2.179020441E1,1.399999976E0,8.550000000E1,3.200000000E1,3.300000000E1
2.085720106E1,4.078261290E1,-7.387795441E1,-2.279021507E1,1.610000014E0,7.550000000E1,3.250000000E1,3.400000000E1
2.186107930E1,4.078258909E1,-7.387793689E1,-2.279018251E1,1.569999933E0,6.909999847E1,3.000000000E1,3.400000000E1
2.286624078E1,4.078250385E1,-7.387790294E1,-1.579004919E1,2.819999933E0,6.500000000E1,2.650000000E1,3.300000000E1
2.385454395E1,4.078245402E1,-7.387785626E1,-1.378998686E1,3.299999952E0,8.050000000E1,2.550000000E1,3.300000000E1
2.485646645E1,4.078238227E1,-7.387780664E1,-8.789886870E0,4.630000114E0,9.780000305E1,2.500000000E1,3.300000000E1
2.586032906E1,4.078230407E1,-7.387771846E1,5.210202305E0,4.969999790E0,1.080999985E2,2.150000000E1,2.900000000E1
2.685088512E1,4.078226480E1,-7.387765124E1,5.210233755E0,5.750000000E0,1.135000000E2,2.050000000E1,2.400000000E1
2.785914582E1,4.078221195E1,-7.387758041E1,7.210287489E0,6.619999886E0,1.155000000E2,2.000000000E1,2.300000000E1
2.886207898E1,4.078217046E1,-7.387750514E1,7.210318252E0,7.629999638E0,1.175999985E2,1.950000000E1,2.200000000E1
2.985923887E1,4.078210780E1,-7.387737656E1,5.210356045E0,9.279999733E0,1.166999969E2,1.750000000E1,1.800000000E1
3.085472922E1,4.078205009E1,-7.387726064E1,4.210392312E0,1.051999950E1,1.171999969E2,1.850000000E1,1.800000000E1
3.185752524E1,4.078194742E1,-7.387711136E1,2.210489937E0,1.194999981E1,1.190000000E2,1.700000000E1,1.700000000E1
3.286078652E1,4.078186498E1,-7.387696643E1,4.210553753E0,1.386999989E1,1.215999985E2,1.600000000E1,1.500000000E1
3.386062734E1,4.078177462E1,-7.387681724E1,7.210629308E0,1.544999981E1,1.215000000E2,1.600000000E1,1.500000000E1
3.486716172E1,4.078169244E1,-7.387665027E1,1.021067987E1,1.678999901E1,1.180000000E2,1.550000000E1,1.500000000E1
3.585058863E1,4.078163896E1,-7.387646955E1,1.221067091E1,1.790999985E1,1.176999969E2,1.450000000E1,1.500000000E1
3.686395648E1,4.078155326E1,-7.387626772E1,1.121070754E1,1.981999969E1,1.181999969E2,1.400000000E1,1.500000000E1
3.785978066E1,4.078144970E1,-7.387604074E1,1.121076162E1,2.170999908E1,1.183000031E2,1.350000000E1,1.400000000E1
3.885494586E1,4.078131865E1,-7.387577302E1,1.021084140E1,2.426000023E1,1.193000031E2,1.300000000E1,1.300000000E1
3.985470199E1,4.078116559E1,-7.387548091E1,1.021094652E1,2.762999916E1,1.198000031E2,1.300000000E1,1.200000000E1
4.086322719E1,4.078100760E1,-7.387513566E1,9.211029661E0,3.097999954E1,1.206999969E2,1.250000000E1,1.100000000E1
4.185396301E1,4.078078589E1,-7.387478823E1,1.121122592E1,3.391999817E1,1.221999969E2,1.350000000E1,1.200000000E1
4.286246141E1,4.078059315E1,-7.387444105E1,1.121137034E1,3.484999847E1,1.221999969E2,1.300000000E1,1.100000000E1
4.385120867E1,4.078039186E1,-7.387405867E1,1.221150967E1,3.652999878E1,1.225999985E2,1.350000000E1,1.100000000E1
4.485736289E1,4.078016329E1,-7.387364393E1,1.521167920E1,4.023999786E1,1.241999969E2,1.400000000E1,1.100000000E1
4.585816840E1,4.077991501E1,-7.387318402E1,1.721185788E1,4.247000122E1,1.236999969E2,1.300000000E1,1.100000000E1
4.686462539E1,4.077966339E1,-7.387267012E1,1.821201124E1,4.554999924E1,1.226999969E2,1.300000000E1,1.100000000E1
4.787446156E1,4.077938561E1,-7.387214106E1,1.921220276E1,4.854499817E1,1.220000000E2,1.250000000E1,1.100000000E1
4.885484629E1,4.077909292E1,-7.387155927E1,2.221239048E1,5.133249664E1,1.220000000E2,1.250000000E1,1.100000000E1
4.985814145E1,4.077880533E1,-7.387098184E1,2.221257156E1,5.543000031E1,1.225999985E2,1.300000000E1,1.200000000E1
5.086116316E1,4.077852286E1,-7.387039511E1,1.921273808E1,5.811999893E1,1.213000031E2,1.150000000E1,1.100000000E1
5.186479289E1,4.077822535E1,-7.386975087E1,1.321289825E1,6.127999878E1,1.208000031E2,1.200000000E1,1.100000000E1
5.285810961E1,4.077787804E1,-7.386906506E1,1.321312372E1,6.490000153E1,1.206999969E2,1.250000000E1,1.100000000E1
5.385386340E1,4.077752303E1,-7.386835470E1,1.421334880E1,6.740000153E1,1.210000000E2,1.150000000E1,1.100000000E1
5.486230516E1,4.077714148E1,-7.386759245E1,1.521359143E1,7.086000061E1,1.215999985E2,1.150000000E1,1.100000000E1
5.586385004E1,4.077677176E1,-7.386682978E1,1.521381263E1,7.294999695E1,1.218000031E2,1.150000000E1,1.100000000E1
5.686431406E1,4.077641088E1,-7.386604490E1,1.321400508E1,7.348999786E1,1.220000000E2,1.200000000E1,1.200000000E1
5.786340871E1,4.077605439E1,-7.386528424E1,1.321420372E1,7.318999481E1,1.224000015E2,1.200000000E1,1.200000000E1
5.886315906E1,4.077565349E1,-7.386448930E1,1.021446229E1,7.626999664E1,1.240999985E2,1.100000000E1,1.100000000E1
5.986096406E1,4.077524407E1,-7.386370693E1,1.021474348E1,7.733000183E1,1.254000015E2,1.250000000E1,1.300000000E1
6.086768512E1,4.077484723E1,-7.386294468E1,1.421501379E1,7.527999878E1,1.259000015E2,1.100000000E1,1.200000000E1
6.185518578E1,4.077445538E1,-7.386221428E1,2.321529368E1,7.394999695E1,1.259000015E2,1.050000000E1,1.200000000E1
6.285687008E1,4.077406621E1,-7.386148514E1,2.621556951E1,7.359999847E1,1.255000000E2,1.100000000E1,1.300000000E1
6.386310375E1,4.077366815E1,-7.386075541E1,3.221586099E1,7.325000000E1,1.260999985E2,1.100000000E1,1.300000000E1
6.485979606E1,4.077327311E1,-7.385999233E1,3.521612773E1,7.377999878E1,1.256999969E2,1.200000000E1,1.500000000E1
6.584936477E1,4.077286868E1,-7.385925480E1,4.021642620E1,7.408000183E1,1.255999985E2,1.300000000E1,1.500000000E1
6.685413641E1,4.077248169E1,-7.385851149E1,4.421669004E1,7.484999847E1,1.251999969E2,1.300000000E1,1.500000000E1
6.787212293E1,4.077208724E1,-7.385772636E1,5.021694303E1,7.588999939E1,1.245000000E2,1.400000000E1,1.500000000E1
6.886810324E1,4.077169895E1,-7.385690343E1,5.521716306E1,7.680999756E1,1.233000031E2,1.350000000E1,1.600000000E1
6.985616473E1,4.077131933E1,-7.385607756E1,5.821736584E1,7.816999817E1,1.225999985E2,1.350000000E1,1.600000000E1
7.086495680E1,4.077094512E1,-7.385527725E1,5.821757378E1,7.772000122E1,1.220000000E2,1.650000000E1,1.900000000E1
7.187235406E1,4.077052833E1,-7.385449137E1,5.921786662E1,8.012999725E1,1.224000015E2,2.450000000E1,1.800000000E1
7.484966461E1,4.076956911E1,-7.385138889E1,8.321779011E1,8.697999573E1,1.168000031E2,3.100000000E1,2.300000000E1
7.585207957E1,4.076927000E1,-7.385052849E1,9.021782842E1,8.650999451E1,1.173000031E2,3.150000000E1,2.500000000E1
7.784337434E1,4.076853998E1,-7.384885152E1,1.052181674E2,8.484999847E1,1.179000015E2,3.200000000E1,2.600000000E1
7.885708625E1,4.076812516E1,-7.384800830E1,1.052184237E2,8.401999664E1,1.195000000E2,3.550000000E1,2.800000000E1
