"Time (s)","Pressure (hPa)"
1.919298960E-1,1.025322144E3
2.919298960E-1,1.025322632E3
3.919298960E-1,1.025320801E3
4.919298960E-1,1.025319092E3
5.919298960E-1,1.025357666E3
6.919298960E-1,1.025382446E3
7.919298960E-1,1.025401123E3
8.919298960E-1,1.025417480E3
9.919298960E-1,1.025387207E3
1.091929896E0,1.025363892E3
1.191929896E0,1.025348511E3
1.291929896E0,1.025336792E3
1.391929896E0,1.025340088E3
1.491929896E0,1.025346191E3
1.591929896E0,1.025353516E3
1.691929896E0,1.025360962E3
1.791929896E0,1.025374878E3
1.891929896E0,1.025380127E3
1.991929896E0,1.025385132E3
2.091929896E0,1.025390137E3
2.191929896E0,1.025398560E3
2.291929896E0,1.025402954E3
2.391929896E0,1.025406860E3
2.491929896E0,1.025409790E3
2.591929896E0,1.025412109E3
2.691929896E0,1.025412476E3
2.791929896E0,1.025412476E3
2.891929896E0,1.025412354E3
2.991929896E0,1.025412598E3
3.091929896E0,1.025412964E3
3.191929896E0,1.025413086E3
3.291929896E0,1.025413208E3
3.391929896E0,1.025411865E3
3.491929896E0,1.025410645E3
3.591929896E0,1.025409180E3
3.691929896E0,1.025407593E3
3.791929896E0,1.025403687E3
3.891929896E0,1.025401733E3
3.991929896E0,1.025400024E3
4.091929896E0,1.025398071E3
4.191929896E0,1.025396362E3
4.291929896E0,1.025396362E3
4.391929896E0,1.025396729E3
4.491929896E0,1.025397461E3
4.591929896E0,1.025399048E3
4.691929896E0,1.025400024E3
4.791929896E0,1.025400635E3
4.891929896E0,1.025401123E3
4.991929896E0,1.025401489E3
5.091929896E0,1.025401733E3
5.191929896E0,1.025402344E3
5.291929896E0,1.025402954E3
5.391929896E0,1.025404541E3
5.491929896E0,1.025405273E3
5.591929896E0,1.025406128E3
5.691929896E0,1.025406494E3
5.791929896E0,1.025408569E3
5.891929896E0,1.025409302E3
5.991929896E0,1.025410278E3
6.091929896E0,1.025411377E3
6.191929896E0,1.025414062E3
6.291929896E0,1.025415894E3
6.391929896E0,1.025418091E3
6.491929896E0,1.025420410E3
6.591929896E0,1.025423096E3
6.691929896E0,1.025429077E3
6.791929896E0,1.025432373E3
6.891929896E0,1.025436279E3
6.991929896E0,1.025440308E3
7.091929896E0,1.025447266E3
7.191929896E0,1.025450439E3
7.291929896E0,1.025453125E3
7.391929896E0,1.025455444E3
7.491929896E0,1.025459717E3
7.591929896E0,1.025461182E3
7.691929896E0,1.025462524E3
7.791929896E0,1.025463379E3
7.891929896E0,1.025465454E3
7.991929896E0,1.025466675E3
8.091929896E0,1.025467896E3
8.191929896E0,1.025469482E3
8.291929896E0,1.025473267E3
8.391929896E0,1.025475586E3
8.491929896E0,1.025478149E3
8.591929896E0,1.025480591E3
8.691929896E0,1.025484863E3
8.791929896E0,1.025486572E3
8.891929896E0,1.025488281E3
8.991929896E0,1.025489990E3
9.091929896E0,1.025493774E3
9.191929896E0,1.025495605E3
9.291929896E0,1.025497803E3
9.391929896E0,1.025499512E3
9.491929896E0,1.025502319E3
9.591929896E0,1.025503418E3
9.691929896E0,1.025504028E3
9.791929896E0,1.025504517E3
9.891929896E0,1.025505249E3
9.991929896E0,1.025505615E3
1.009192990E1,1.025506104E3
1.019192990E1,1.025506226E3
1.029192990E1,1.025506714E3
1.039192990E1,1.025507202E3
1.049192990E1,1.025507812E3
1.059192990E1,1.025508667E3
1.069192990E1,1.025510742E3
1.079192990E1,1.025511841E3
1.089192990E1,1.025512939E3
1.099192990E1,1.025514038E3
1.109192990E1,1.025515137E3
1.119192990E1,1.025515259E3
1.129192990E1,1.025514771E3
1.139192990E1,1.025513916E3
1.149192990E1,1.025511841E3
1.159192990E1,1.025510620E3
1.169192990E1,1.025509399E3
1.179192990E1,1.025508301E3
1.189192990E1,1.025506836E3
1.199192990E1,1.025506348E3
1.209192990E1,1.025506104E3
1.219192990E1,1.025505737E3
1.229192990E1,1.025504395E3
1.239192990E1,1.025503418E3
1.249192990E1,1.025502441E3
1.259192990E1,1.025501587E3
1.269192990E1,1.025500610E3
1.279192990E1,1.025498779E3
1.289192990E1,1.025497192E3
1.299192990E1,1.025495483E3
1.309192990E1,1.025493286E3
1.319192990E1,1.025488525E3
1.329192990E1,1.025485962E3
1.339192990E1,1.025483398E3
1.349192990E1,1.025480713E3
1.359192990E1,1.025475586E3
1.369192990E1,1.025473511E3
1.379192990E1,1.025471436E3
1.389192990E1,1.025468994E3
1.399192990E1,1.025463867E3
1.409192990E1,1.025461548E3
1.419192990E1,1.025459351E3
1.429192990E1,1.025457153E3
1.439192990E1,1.025453369E3
1.449192990E1,1.025451538E3
1.459192990E1,1.025449829E3
1.469192990E1,1.025448242E3
1.479192990E1,1.025445435E3
1.489192990E1,1.025444336E3
1.499192990E1,1.025443237E3
1.509192990E1,1.025442139E3
1.519192990E1,1.025440918E3
1.529192990E1,1.025440796E3
1.539192990E1,1.025440796E3
1.549192990E1,1.025440796E3
1.559192990E1,1.025440552E3
1.569192990E1,1.025440308E3
1.579192990E1,1.025440186E3
1.589192990E1,1.025439941E3
1.599192990E1,1.025440186E3
1.609192990E1,1.025439697E3
1.619192990E1,1.025439209E3
1.629192990E1,1.025438599E3
1.639192990E1,1.025437134E3
1.649192990E1,1.025436890E3
1.659192990E1,1.025436401E3
1.669192990E1,1.025436035E3
1.679192990E1,1.025434937E3
1.689192990E1,1.025434448E3
1.699192990E1,1.025434204E3
1.709192990E1,1.025434204E3
1.719192990E1,1.025434326E3
1.729192990E1,1.025434692E3
1.739192990E1,1.025434692E3
1.749192990E1,1.025434448E3
1.759192990E1,1.025434326E3
1.769192990E1,1.025434082E3
1.779192990E1,1.025433594E3
1.789192990E1,1.025432983E3
1.799192990E1,1.025430176E3
1.809192990E1,1.025428223E3
1.819192990E1,1.025426392E3
1.829192990E1,1.025424316E3
1.839192990E1,1.025420288E3
1.849192990E1,1.025418213E3
1.859192990E1,1.025416016E3
1.869192990E1,1.025414062E3
1.879192990E1,1.025412109E3
1.889192990E1,1.025408691E3
1.899192990E1,1.025406860E3
1.909192990E1,1.025404663E3
1.919192990E1,1.025401855E3
1.929192990E1,1.025394653E3
1.939192990E1,1.025391113E3
1.949192990E1,1.025387573E3
1.959192990E1,1.025384644E3
1.969192990E1,1.025380249E3
1.979192990E1,1.025378296E3
1.989192990E1,1.025376343E3
1.999192990E1,1.025374023E3
2.009192990E1,1.025368408E3
2.019192990E1,1.025365479E3
2.029192990E1,1.025362671E3
2.039192990E1,1.025360229E3
2.049192990E1,1.025355957E3
2.059192990E1,1.025354004E3
2.069192990E1,1.025352051E3
2.079192990E1,1.025349976E3
2.089192990E1,1.025346069E3
2.099192990E1,1.025343994E3
2.109192990E1,1.025342163E3
2.119192990E1,1.025340332E3
2.129192990E1,1.025337524E3
2.139192990E1,1.025336182E3
2.149192990E1,1.025335083E3
2.159192990E1,1.025333862E3
2.169192990E1,1.025330811E3
2.179192990E1,1.025329224E3
2.189192990E1,1.025327515E3
2.199192990E1,1.025325928E3
2.209192990E1,1.025322021E3
2.219192990E1,1.025319214E3
2.229192990E1,1.025315430E3
2.239192990E1,1.025310425E3
2.249192990E1,1.025293457E3
2.259192990E1,1.025283569E3
2.269192990E1,1.025273438E3
2.279192990E1,1.025263428E3
2.289192990E1,1.025248535E3
2.299192990E1,1.025243530E3
2.309192990E1,1.025240234E3
2.319192990E1,1.025238892E3
2.329192990E1,1.025245728E3
2.339192990E1,1.025251343E3
2.349192990E1,1.025257812E3
2.359192990E1,1.025265259E3
2.369192990E1,1.025282593E3
2.379192990E1,1.025291748E3
2.389192990E1,1.025300659E3
2.399192990E1,1.025309937E3
2.409192990E1,1.025326172E3
2.419192990E1,1.025333984E3
2.429192990E1,1.025341553E3
2.439192990E1,1.025347900E3
2.449192990E1,1.025360107E3
2.459192990E1,1.025365967E3
2.469192990E1,1.025371094E3
2.479192990E1,1.025376099E3
2.489192990E1,1.025379150E3
2.499192990E1,1.025384033E3
2.509192990E1,1.025386963E3
2.519192990E1,1.025390015E3
2.529192990E1,1.025393433E3
2.539192990E1,1.025398682E3
2.549192990E1,1.025400635E3
2.559192990E1,1.025401855E3
2.569192990E1,1.025402466E3
2.579192990E1,1.025403931E3
2.589192990E1,1.025404175E3
2.599192990E1,1.025404175E3
2.609192990E1,1.025403931E3
2.619192990E1,1.025402954E3
2.629192990E1,1.025401978E3
2.639192990E1,1.025400635E3
2.649192990E1,1.025398926E3
2.659192990E1,1.025395142E3
2.669192990E1,1.025392944E3
2.679192990E1,1.025390015E3
2.689192990E1,1.025387451E3
2.699192990E1,1.025382935E3
2.709192990E1,1.025381836E3
2.719192990E1,1.025381226E3
2.729192990E1,1.025380249E3
2.739192990E1,1.025375854E3
2.749192990E1,1.025373291E3
2.759192990E1,1.025371948E3
2.769192990E1,1.025370483E3
2.779192990E1,1.025369873E3
2.789192990E1,1.025369019E3
2.799192990E1,1.025368286E3
2.809192990E1,1.025368286E3
2.819192990E1,1.025369385E3
2.829192990E1,1.025370239E3
2.839192990E1,1.025370605E3
2.849192990E1,1.025370117E3
2.859192990E1,1.025368530E3
2.869192990E1,1.025367920E3
2.879192990E1,1.025367310E3
2.889192990E1,1.025367310E3
2.899192990E1,1.025367310E3
2.909192990E1,1.025367310E3
2.919192990E1,1.025368042E3
2.929192990E1,1.025369385E3
2.939192990E1,1.025372803E3
2.949192990E1,1.025374634E3
2.959192990E1,1.025376343E3
2.969192990E1,1.025377686E3
2.979192990E1,1.025377930E3
2.989192990E1,1.025378052E3
2.999192990E1,1.025378906E3
3.009192990E1,1.025380249E3
3.019192990E1,1.025386108E3
3.029192990E1,1.025389526E3
3.039192990E1,1.025393311E3
3.049192990E1,1.025397217E3
3.059192990E1,1.025407104E3
3.069192990E1,1.025412598E3
3.079192990E1,1.025418091E3
3.089192990E1,1.025422729E3
3.099192990E1,1.025428589E3
3.109192990E1,1.025431274E3
3.119192990E1,1.025433594E3
3.129192990E1,1.025436401E3
3.139192990E1,1.025438721E3
3.149192990E1,1.025440552E3
3.159192990E1,1.025439453E3
3.169192990E1,1.025437622E3
3.179192990E1,1.025435791E3
3.189192990E1,1.025431274E3
3.199192990E1,1.025426392E3
3.209192990E1,1.025420166E3
3.219192990E1,1.025412598E3
3.229192990E1,1.025393555E3
3.239192990E1,1.025383423E3
3.249192990E1,1.025373779E3
3.259192990E1,1.025364014E3
3.269192990E1,1.025346069E3
3.279192990E1,1.025336060E3
3.289192990E1,1.025326050E3
3.299192990E1,1.025316895E3
3.309192990E1,1.025299316E3
3.319192990E1,1.025292114E3
3.329192990E1,1.025285034E3
3.339192990E1,1.025277344E3
3.349192990E1,1.025262573E3
3.359192990E1,1.025257812E3
3.369192990E1,1.025254639E3
3.379192990E1,1.025252319E3
3.389192990E1,1.025250122E3
3.399192990E1,1.025250488E3
3.409192990E1,1.025251343E3
3.419192990E1,1.025253296E3
3.429192990E1,1.025258423E3
3.439192990E1,1.025261841E3
3.449192990E1,1.025264771E3
3.459192990E1,1.025267822E3
3.469192990E1,1.025275879E3
3.479192990E1,1.025281372E3
3.489192990E1,1.025286743E3
3.499192990E1,1.025292480E3
3.509192990E1,1.025302368E3
3.519192990E1,1.025307373E3
3.529192990E1,1.025313354E3
3.539192990E1,1.025320923E3
3.549192990E1,1.025339355E3
3.559192990E1,1.025347778E3
3.569192990E1,1.025357056E3
3.579192990E1,1.025367432E3
3.589192990E1,1.025397583E3
3.599192990E1,1.025417480E3
3.609192990E1,1.025436279E3
3.619192990E1,1.025454224E3
3.629192990E1,1.025484375E3
3.639192990E1,1.025498047E3
3.649192990E1,1.025513550E3
3.659192990E1,1.025529785E3
3.669192990E1,1.025567139E3
3.679192990E1,1.025585571E3
3.689192990E1,1.025601807E3
3.699192990E1,1.025616089E3
3.709192990E1,1.025639160E3
3.719192990E1,1.025650391E3
3.729192990E1,1.025662598E3
3.739192990E1,1.025676025E3
3.749192990E1,1.025699951E3
3.759192990E1,1.025711060E3
3.769192990E1,1.025722290E3
3.779192990E1,1.025734253E3
3.789192990E1,1.025747681E3
3.799192990E1,1.025781372E3
3.809192990E1,1.025798462E3
3.819192990E1,1.025815430E3
3.829192990E1,1.025832520E3
3.839192990E1,1.025867920E3
3.849192990E1,1.025886841E3
3.859192990E1,1.025906128E3
3.869192990E1,1.025925171E3
3.879192990E1,1.025958984E3
3.889192990E1,1.025974976E3
3.899192990E1,1.025990479E3
3.909192990E1,1.026005859E3
3.919192990E1,1.026037598E3
3.929192990E1,1.026055542E3
3.939192990E1,1.026074829E3
3.949192990E1,1.026095703E3
3.959192990E1,1.026145142E3
3.969192990E1,1.026167969E3
3.979192990E1,1.026190918E3
3.989192990E1,1.026214355E3
3.999192990E1,1.026266968E3
4.009192990E1,1.026294678E3
4.019192990E1,1.026322632E3
