"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","SM-S711B"
"deviceBrand","samsung"
"deviceBoard","s5e9925"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/r11sxins/r11s:16/BP2A.250605.031.A3/S711BXXUAFYI6:user/release-keys"
"deviceCodename","REL"
"deviceRelease","16"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","LSM6DSVTR Accelerometer"
"accelerometer Vendor","STM"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","160000"
"accelerometer Power","0.15"
"accelerometer Version","15933"
"linear_acceleration Name","Samsung Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023942017"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","1.9"
"linear_acceleration Version","1"
"gravity Name","Samsung Gravity Sensor"
"gravity Vendor","Samsung Electronics"
"gravity Range","19.6133"
"gravity Resolution","0.0023942017"
"gravity MinDelay","10000"
"gravity MaxDelay","0"
"gravity Power","1.9"
"gravity Version","1"
"gyroscope Name","LSM6DSVTR Gyroscope"
"gyroscope Vendor","STM"
"gyroscope Range","17.453032"
"gyroscope Resolution","6.1086525E-4"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","160000"
"gyroscope Power","0.65"
"gyroscope Version","1"
"magnetic_field Name","AK09918C Magnetometer"
"magnetic_field Vendor","Asahi Kasei Microdevices"
"magnetic_field Range","4900.02"
"magnetic_field Resolution","0.06"
"magnetic_field MinDelay","8000"
"magnetic_field MaxDelay","320000"
"magnetic_field Power","1.1"
"magnetic_field Version","2"
"pressure Name","BMP580 Barometer"
"pressure Vendor","Bosch Sensortec"
"pressure Range","1100.0"
"pressure Resolution","1.5625E-4"
"pressure MinDelay","80000"
"pressure MaxDelay","1280000"
"pressure Power","0.012"
"pressure Version","1"
"light Name","STK31610 Light"
"light Vendor","Sitronix"
"light Range","60000.0"
"light Resolution","1.0"
"light MinDelay","200000"
"light MaxDelay","200000"
"light Power","0.75"
"light Version","2002"
"proximity Name","Ear Hover Proximity Sensor (ProToS)"
"proximity Vendor","Samsung Electronics."
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector Sensor"
"attitude Vendor","Samsung Electronics"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","0"
"attitude Power","1.9"
"attitude Version","3"
"custom Name","LSM6DSVTR Accelerometer"
"custom Vendor","STM"
"custom Range","78.4532"
"custom Resolution","0.0023942017"
"custom MinDelay","2000"
"custom MaxDelay","160000"
"custom Power","0.15"
"custom Version","15933"
